Point_ID,Latitude,Longitude,LST (Â°C),Elevation,Slope,Aspect,EVI,NDVI,TVI,BSI,NDBaI,NDBSI,NMDI,OSAVI,SAVI,BUI,EBBI,NBI,NBAI,UI,MNDWI,NDWI,Year
1,22.85,86.2,40.5,150.0,2.5,185.0,0.08,0.12,65.4,0.45,0.38,0.41,0.35,0.15,0.18,0.33,0.29,0.25,0.21,0.39,-0.35,-0.4,2010
2,22.95,86.45,25.1,220.0,8.2,45.0,0.65,0.72,115.8,-0.21,-0.25,-0.19,-0.3,0.75,0.81,-0.15,-0.18,-0.22,-0.2,-0.28,0.55,0.62,2010
3,22.78,86.33,32.8,185.0,5.1,270.0,0.25,0.31,88.2,0.15,0.11,0.18,0.05,0.33,0.39,0.09,0.12,0.07,0.05,0.14,0.02,-0.05,2010
4,22.69,86.51,28.4,205.0,6.7,130.0,0.45,0.53,99.6,-0.05,-0.09,-0.02,-0.15,0.58,0.64,-0.03,-0.07,-0.1,-0.08,-0.12,0.21,0.15,2010
5,22.83413,86.45592,34.4,154.0,7.0,178.0,0.36,0.37,113.3,,,,-0.02,0.66,0.78,0.0,0.13,-0.17,-0.24,-0.14,0.15,-0.35,2010
6,22.83903,86.37691,31.7,196.0,8.0,263.0,0.4,0.37,108.3,,,,-0.28,0.29,0.5,0.0,0.06,0.13,-0.02,-0.21,0.19,-0.45,2010
7,22.80339,86.28331,30.5,143.0,5.5,203.0,0.45,0.47,114.2,,,,-0.31,0.65,0.57,0.35,0.06,-0.25,0.09,0.19,0.03,0.06,2010
8,22.90011,86.50033,33.4,219.0,6.5,336.0,0.59,0.47,108.3,,,,-0.11,0.5,0.57,0.34,0.09,0.25,-0.03,0.05,0.26,0.11,2010
9,22.83088,86.31213,30.7,180.0,3.3,257.0,0.55,0.42,120.0,,,,-0.04,0.23,0.64,0.08,-0.17,0.19,-0.22,-0.19,0.32,-0.45,2010
10,22.86079,86.15918,36.0,199.0,4.8,360.0,0.4,0.47,60.0,,,,-0.04,0.57,0.36,-0.19,0.3,-0.07,-0.07,0.13,-0.31,-0.2,2010
11,22.82544,86.33827,36.4,234.0,7.7,184.0,0.16,0.41,83.2,,,,-0.18,0.59,0.49,0.28,0.01,0.16,0.25,-0.06,0.17,-0.26,2010
12,22.82361,86.33313,38.8,194.0,6.4,168.0,0.42,0.34,92.8,,,,0.16,0.32,0.85,-0.2,-0.11,-0.12,-0.04,0.33,-0.4,0.5,2010
13,22.89944,86.23401,30.4,159.0,4.3,0.0,0.5,0.1,100.5,,,,0.13,0.29,0.58,-0.17,-0.2,-0.07,-0.03,-0.08,0.08,0.65,2010
14,22.93893,86.44646,30.0,170.0,8.2,331.0,0.59,0.39,61.2,,,,-0.22,0.4,0.79,-0.2,-0.09,-0.25,0.01,0.06,0.27,-0.43,2010
15,22.77608,86.35483,30.1,175.0,6.3,163.0,0.33,0.56,76.2,,,,0.04,0.75,0.29,-0.08,-0.01,0.02,-0.16,0.14,0.22,0.3,2010
16,22.82271,86.32104,40.1,218.0,7.6,161.0,0.29,0.67,98.5,,,,-0.05,0.75,0.85,-0.2,0.3,-0.03,0.03,0.44,0.16,0.13,2010
17,22.84874,86.40317,36.6,189.0,4.8,142.0,0.5,0.5,78.6,,,,0.39,0.11,0.69,-0.17,-0.2,0.1,0.06,0.08,0.43,0.5,2010
18,22.86237,86.4287,35.9,202.0,6.9,129.0,0.24,0.44,77.7,,,,-0.04,0.4,0.63,-0.03,-0.16,0.03,-0.01,0.02,0.16,-0.1,2010
19,22.87344,86.24711,33.6,210.0,3.6,165.0,0.46,0.45,115.6,,,,-0.21,0.75,0.48,0.14,-0.11,-0.12,0.08,0.05,0.01,0.26,2010
20,22.84467,86.47007,31.3,216.0,9.4,221.0,0.61,0.27,87.9,,,,0.04,0.26,0.45,0.35,-0.03,-0.11,-0.07,0.23,-0.33,0.42,2010
21,22.81857,86.49551,35.0,161.0,4.9,360.0,0.4,0.14,96.8,,,,-0.26,0.38,0.58,-0.06,-0.05,-0.25,0.04,-0.01,0.16,0.23,2010
22,22.82595,86.45276,35.3,167.0,2.1,143.0,0.48,0.75,80.4,,,,-0.22,0.42,0.28,-0.01,0.3,0.25,-0.0,0.42,-0.17,0.26,2010
23,22.86894,86.30448,33.6,188.0,6.0,175.0,0.37,0.62,78.7,,,,0.06,0.38,0.3,-0.01,0.3,0.06,-0.05,0.05,0.1,0.02,2010
24,22.83991,86.20506,32.9,216.0,7.9,84.0,0.36,0.47,97.0,,,,-0.35,0.75,0.3,-0.15,-0.09,-0.25,-0.05,-0.3,0.23,-0.36,2010
25,22.77756,86.22867,32.9,187.0,5.6,175.0,0.13,0.42,98.6,,,,-0.12,0.36,0.68,0.35,-0.13,0.07,-0.03,0.15,-0.27,-0.16,2010
26,22.83879,86.30588,30.9,187.0,3.8,120.0,0.28,0.4,73.8,,,,-0.02,0.5,0.42,-0.17,0.02,0.14,0.25,0.16,-0.17,0.65,2010
27,22.73223,86.35324,26.4,198.0,2.6,131.0,0.5,0.33,76.8,,,,0.08,0.47,0.3,0.12,0.06,0.02,-0.11,0.13,0.46,0.65,2010
28,22.75876,86.33699,24.0,168.0,3.5,257.0,0.29,0.29,103.7,,,,0.11,0.37,0.41,-0.06,0.19,0.01,-0.03,0.22,0.2,0.16,2010
29,22.82248,86.39997,30.1,197.0,7.0,65.0,0.32,0.32,120.0,,,,0.31,0.38,0.41,0.24,0.3,0.23,-0.21,-0.09,-0.14,-0.01,2010
30,22.84893,86.32573,38.9,202.0,6.1,144.0,0.25,0.1,106.9,,,,0.02,0.59,0.55,0.23,-0.07,-0.21,-0.04,0.45,0.6,0.17,2010
31,22.85573,86.31927,39.9,153.0,2.8,97.0,0.49,0.36,85.5,,,,0.39,0.16,0.54,0.01,0.08,0.03,-0.09,0.4,0.2,-0.23,2010
32,22.78308,86.31372,35.6,240.0,5.2,77.0,0.57,0.48,73.1,,,,-0.2,0.22,0.41,0.31,0.3,0.05,-0.21,0.19,0.31,0.32,2010
33,22.82472,86.28277,24.0,158.0,3.4,177.0,0.16,0.27,80.0,,,,-0.11,0.59,0.37,-0.08,0.3,0.13,0.01,0.03,-0.18,0.16,2010
34,22.70917,86.34057,34.2,233.0,6.0,229.0,0.43,0.75,120.0,,,,-0.34,0.15,0.51,0.12,0.14,-0.0,0.08,0.19,0.26,-0.12,2010
35,22.83964,86.48783,30.8,192.0,7.2,70.0,0.44,0.36,110.3,,,,-0.07,0.3,0.47,-0.2,-0.11,-0.25,-0.07,0.32,-0.3,0.18,2010
36,22.89487,86.34872,24.0,193.0,7.1,332.0,0.32,0.53,88.2,,,,-0.08,0.32,0.35,-0.14,0.18,0.14,-0.06,0.0,-0.4,0.27,2010
37,22.83212,86.43724,25.6,234.0,5.9,257.0,0.46,0.61,95.5,,,,0.07,0.72,0.46,0.34,-0.2,-0.25,0.01,-0.09,-0.12,0.17,2010
38,22.73847,86.48998,33.0,167.0,5.8,72.0,0.38,0.24,93.7,,,,-0.03,0.67,0.46,-0.2,-0.14,0.25,0.02,0.09,-0.25,0.58,2010
39,22.85586,86.45725,28.8,194.0,7.0,239.0,0.39,0.12,83.9,,,,-0.13,0.6,0.55,0.02,-0.05,-0.22,-0.05,0.45,0.13,0.4,2010
40,22.81219,86.4501,30.3,157.0,3.3,152.0,0.31,0.75,91.1,,,,0.17,0.75,0.68,0.31,0.07,0.25,0.12,0.24,0.1,-0.02,2010
41,22.84512,86.29595,30.2,186.0,6.9,241.0,0.2,0.5,77.3,,,,-0.06,0.42,0.85,-0.1,-0.2,0.21,-0.03,0.15,-0.06,-0.26,2010
42,22.86334,86.1875,24.0,170.0,5.8,53.0,0.18,0.59,92.2,,,,-0.13,0.7,0.62,0.03,-0.2,0.14,0.15,-0.19,0.04,0.42,2010
43,22.752,86.27088,37.9,178.0,9.7,287.0,0.46,0.1,115.7,,,,-0.06,0.44,0.63,0.35,-0.01,-0.02,-0.04,-0.06,0.31,-0.45,2010
44,22.86441,86.36434,39.0,192.0,5.4,191.0,0.51,0.45,85.8,,,,0.26,0.3,0.69,0.09,0.3,0.25,-0.15,0.24,-0.07,0.32,2010
45,22.82369,86.45816,39.0,194.0,1.8,131.0,0.59,0.75,99.3,,,,-0.22,0.52,0.51,0.27,0.09,0.18,0.19,-0.23,-0.32,0.14,2010
46,22.75582,86.3481,34.7,150.0,6.3,72.0,0.43,0.44,84.3,,,,-0.1,0.56,0.77,0.22,0.06,0.0,0.02,-0.3,-0.3,0.05,2010
47,22.72658,86.43787,24.0,174.0,7.1,184.0,0.26,0.5,102.9,,,,-0.03,0.32,0.52,-0.09,-0.13,-0.02,0.04,0.17,0.12,0.48,2010
48,22.84858,86.47382,26.5,212.0,3.6,316.0,0.44,0.75,116.0,,,,0.15,0.59,0.53,0.1,0.25,0.0,-0.12,0.3,-0.4,-0.01,2010
49,22.83413,86.21372,33.3,190.0,7.2,134.0,0.2,0.4,60.0,,,,-0.18,0.33,0.4,-0.09,0.26,-0.08,-0.25,0.2,0.16,-0.37,2010
50,22.81054,86.30608,24.0,140.0,3.5,340.0,0.27,0.52,64.4,,,,-0.01,0.37,0.45,-0.1,-0.2,0.25,-0.0,-0.14,0.21,0.04,2010
51,22.76035,86.41927,26.6,194.0,4.5,225.0,0.4,0.59,90.6,,,,0.24,0.34,0.55,-0.11,0.24,0.03,-0.2,-0.15,0.6,-0.45,2010
52,22.85896,86.4409,29.7,179.0,3.5,250.0,0.27,0.27,83.7,,,,-0.13,0.32,0.59,0.0,-0.03,-0.25,0.13,-0.13,0.6,-0.45,2010
53,22.89735,86.37959,24.4,190.0,3.2,115.0,0.48,0.19,74.7,,,,0.0,0.43,0.26,0.3,-0.01,-0.07,0.08,-0.0,0.29,0.65,2010
54,22.77532,86.40149,32.4,201.0,6.6,356.0,0.4,0.52,66.1,,,,-0.04,0.69,0.61,0.35,0.25,0.23,-0.04,0.02,0.29,-0.15,2010
55,22.742,86.41914,31.0,179.0,2.5,100.0,0.09,0.35,64.2,,,,0.1,0.41,0.54,0.02,-0.18,-0.25,0.16,-0.29,0.58,-0.18,2010
56,22.79941,86.31642,34.7,214.0,3.6,143.0,0.44,0.65,86.0,,,,-0.11,0.51,0.65,0.35,-0.1,-0.01,-0.17,0.41,-0.09,0.24,2010
57,22.87667,86.37462,29.5,194.0,3.8,0.0,0.05,0.13,101.1,,,,0.26,0.25,0.85,0.04,0.22,-0.13,0.15,-0.26,0.1,-0.3,2010
58,22.81218,86.34284,36.8,206.0,6.2,151.0,0.25,0.59,82.0,,,,-0.2,0.37,0.78,0.14,0.3,0.03,0.04,0.2,0.5,-0.1,2010
59,22.83679,86.29407,39.1,195.0,3.2,167.0,0.34,0.75,80.2,,,,0.0,0.41,0.15,0.18,0.26,-0.03,-0.13,0.31,-0.02,0.21,2010
60,22.85292,86.43333,24.0,182.0,4.0,254.0,0.31,0.41,86.4,,,,0.05,0.58,0.63,0.09,-0.05,-0.01,-0.03,-0.15,-0.02,-0.3,2010
61,22.82316,86.3401,33.1,224.0,3.9,357.0,0.35,0.4,66.0,,,,0.08,0.25,0.45,0.09,0.02,-0.08,0.16,0.04,-0.13,-0.12,2010
62,22.86267,86.36964,34.1,160.0,5.4,0.0,0.54,0.22,119.1,,,,0.07,0.28,0.2,-0.03,0.3,0.08,0.25,-0.3,-0.16,0.07,2010
63,22.89771,86.35463,34.3,218.0,6.9,174.0,0.44,0.52,87.3,,,,-0.27,0.5,0.65,0.33,0.08,0.1,0.15,-0.28,0.11,0.49,2010
64,22.81555,86.35139,24.0,177.0,4.1,176.0,0.46,0.22,110.2,,,,0.22,0.74,0.15,-0.18,0.06,0.02,-0.06,-0.08,-0.08,-0.22,2010
65,22.79326,86.4071,28.6,164.0,2.5,283.0,0.28,0.58,69.9,,,,-0.14,0.36,0.4,0.26,0.18,-0.07,0.1,0.07,0.12,0.45,2010
66,22.83232,86.46972,37.3,197.0,7.6,270.0,0.5,0.5,120.0,,,,-0.03,0.67,0.41,0.2,0.3,-0.25,-0.25,-0.01,-0.06,0.23,2010
67,22.85186,86.37965,24.3,213.0,6.1,267.0,0.28,0.35,120.0,,,,-0.2,0.22,0.59,0.26,-0.12,0.25,0.25,0.28,-0.27,-0.36,2010
68,22.88505,86.35282,33.3,154.0,5.9,0.0,0.56,0.3,101.2,,,,-0.35,0.57,0.62,0.14,0.19,0.25,0.14,0.12,0.44,0.13,2010
69,22.85205,86.43277,29.3,203.0,4.7,360.0,0.47,0.42,108.8,,,,0.33,0.36,0.38,0.15,0.04,-0.2,-0.04,0.03,0.32,-0.3,2010
70,22.82025,86.45578,35.1,204.0,7.2,203.0,0.41,0.33,84.9,,,,0.29,0.36,0.25,-0.2,-0.18,0.25,-0.01,-0.14,-0.4,0.12,2010
71,22.79009,86.32174,35.1,200.0,4.0,166.0,0.5,0.47,105.7,,,,-0.28,0.58,0.42,0.19,0.3,0.13,-0.08,-0.14,-0.0,0.23,2010
72,22.73681,86.46704,32.8,223.0,6.4,138.0,0.65,0.13,77.6,,,,-0.28,0.7,0.62,-0.1,0.19,0.2,0.15,0.23,0.33,-0.15,2010
73,22.84546,86.27038,35.1,175.0,7.4,298.0,0.28,0.42,110.8,,,,0.08,0.34,0.39,-0.06,0.11,0.16,-0.15,0.35,-0.05,0.37,2010
74,22.79205,86.48334,30.7,205.0,3.8,45.0,0.28,0.49,83.9,,,,0.02,0.56,0.64,0.2,0.06,-0.02,-0.25,0.15,-0.4,0.07,2010
75,22.8918,86.3042,40.0,227.0,6.1,277.0,0.27,0.64,71.9,,,,-0.05,0.75,0.34,-0.01,0.28,-0.25,0.25,0.16,0.33,-0.19,2010
76,22.84403,86.37773,35.0,147.0,4.6,126.0,0.12,0.18,60.0,,,,0.0,0.21,0.5,-0.09,-0.18,0.14,0.21,0.01,0.28,-0.25,2010
77,22.79301,86.4059,29.7,192.0,4.0,149.0,0.2,0.23,79.4,,,,0.07,0.22,0.41,0.07,0.3,-0.25,-0.15,0.15,0.19,0.04,2010
78,22.87472,86.36932,33.1,204.0,6.4,145.0,0.47,0.44,77.2,,,,0.19,0.75,0.63,0.2,0.3,-0.25,-0.25,-0.11,0.32,0.08,2010
79,22.84922,86.38555,33.3,199.0,3.4,179.0,0.3,0.7,68.2,,,,-0.13,0.39,0.72,0.31,-0.08,0.2,0.01,0.16,0.18,0.52,2010
80,22.83587,86.31494,29.7,180.0,4.2,104.0,0.59,0.39,102.2,,,,0.11,0.22,0.66,0.29,-0.2,0.0,0.04,0.19,0.18,0.33,2010
81,22.78697,86.36056,30.2,213.0,8.4,200.0,0.33,0.56,87.0,,,,0.13,0.36,0.37,0.15,0.15,-0.06,-0.22,0.26,0.19,0.06,2010
82,22.81501,86.36607,36.8,152.0,5.8,360.0,0.29,0.23,90.7,,,,0.22,0.1,0.59,0.35,-0.12,0.25,0.24,0.3,-0.13,0.29,2010
83,22.8366,86.25818,29.9,160.0,5.1,249.0,0.32,0.2,74.3,,,,0.11,0.43,0.23,0.3,0.08,0.02,-0.1,0.17,0.6,-0.0,2010
84,22.78262,86.41074,31.7,239.0,4.8,0.0,0.19,0.1,100.0,,,,-0.28,0.37,0.15,0.12,-0.2,-0.16,-0.02,0.45,0.03,-0.14,2010
85,22.77548,86.29992,26.5,213.0,1.8,138.0,0.21,0.75,76.1,,,,-0.35,0.35,0.68,0.12,0.05,0.22,0.08,0.15,-0.04,0.08,2010
86,22.79931,86.46362,34.3,175.0,8.0,360.0,0.35,0.44,98.5,,,,-0.3,0.38,0.69,0.35,0.17,-0.02,0.03,0.18,0.36,0.44,2010
87,22.80277,86.3375,29.7,227.0,7.6,120.0,0.39,0.43,97.3,,,,-0.2,0.52,0.15,0.26,0.11,0.21,-0.25,0.35,0.2,0.22,2010
88,22.83625,86.50988,36.0,197.0,7.4,252.0,0.05,0.19,94.3,,,,-0.13,0.66,0.39,0.35,0.24,-0.08,0.07,0.45,-0.25,0.28,2010
89,22.82448,86.41251,41.0,178.0,4.7,56.0,0.11,0.38,83.7,,,,-0.07,0.64,0.38,-0.07,-0.02,0.16,-0.25,0.32,-0.06,0.65,2010
90,22.76409,86.27089,32.1,207.0,3.9,274.0,0.34,0.75,75.6,,,,-0.1,0.75,0.62,0.05,0.3,-0.04,-0.2,-0.09,-0.13,0.08,2010
91,22.76282,86.51614,30.7,205.0,7.6,142.0,0.49,0.68,115.0,,,,0.11,0.3,0.68,-0.07,-0.2,-0.25,-0.03,-0.18,0.23,0.12,2010
92,22.74802,86.30729,36.5,209.0,5.6,211.0,0.39,0.75,104.9,,,,-0.35,0.24,0.44,-0.04,0.02,0.08,0.25,0.15,0.42,-0.35,2010
93,22.83968,86.31103,36.8,151.0,6.4,41.0,0.07,0.75,103.6,,,,-0.14,0.47,0.52,-0.2,0.13,0.02,0.08,-0.3,0.27,0.37,2010
94,22.79086,86.34369,27.7,196.0,7.3,192.0,0.58,0.53,84.1,,,,0.23,0.29,0.27,-0.14,0.16,-0.15,-0.08,-0.16,0.46,0.22,2010
95,22.86971,86.37571,36.7,206.0,3.5,268.0,0.24,0.1,107.3,,,,-0.26,0.72,0.47,-0.1,-0.1,0.05,0.18,-0.17,0.08,-0.35,2010
96,22.85343,86.34907,26.7,206.0,3.1,161.0,0.32,0.33,120.0,,,,-0.29,0.42,0.37,0.03,0.15,0.25,-0.25,-0.3,-0.4,-0.31,2010
97,22.86261,86.50025,37.2,172.0,6.8,203.0,0.38,0.53,105.7,,,,0.28,0.26,0.79,-0.04,-0.1,-0.0,0.18,0.16,-0.14,0.59,2010
98,22.77982,86.28923,28.7,176.0,1.7,288.0,0.67,0.45,60.0,,,,0.33,0.45,0.73,-0.17,0.15,-0.01,-0.25,-0.24,0.04,-0.01,2010
99,22.76377,86.42528,34.3,186.0,3.8,297.0,0.59,0.36,85.0,,,,0.14,0.29,0.68,-0.0,0.15,-0.08,-0.06,-0.09,0.6,0.11,2010
100,22.75802,86.40189,30.8,202.0,8.1,146.0,0.6,0.25,117.5,,,,-0.08,0.7,0.36,0.24,-0.08,0.07,-0.25,-0.29,-0.05,0.18,2010
101,22.83929,86.35509,38.1,200.0,4.8,186.0,0.5,0.36,88.4,,,,-0.19,0.41,0.42,0.23,-0.14,0.24,0.0,0.18,0.06,0.35,2010
102,22.75294,86.3064,39.6,200.0,6.7,19.0,0.68,0.35,75.7,,,,-0.35,0.58,0.37,0.13,-0.15,-0.25,0.13,0.3,-0.31,-0.27,2010
103,22.8143,86.28544,29.3,215.0,7.1,35.0,0.31,0.29,95.3,,,,-0.25,0.38,0.83,-0.2,0.3,-0.18,-0.25,-0.16,0.58,0.27,2010
104,22.76779,86.36841,33.9,201.0,4.4,232.0,0.06,0.29,81.8,,,,0.01,0.14,0.62,0.2,0.22,0.1,0.03,0.06,0.23,0.17,2010
105,22.77767,86.35142,27.4,164.0,10.0,223.0,0.41,0.67,73.2,,,,0.21,0.7,0.38,-0.01,-0.2,-0.12,-0.02,0.45,0.59,0.29,2010
106,22.82154,86.36245,39.5,165.0,3.0,161.0,0.34,0.67,92.4,,,,0.17,0.28,0.53,0.13,-0.09,0.2,-0.11,0.15,0.11,-0.36,2010
107,22.85102,86.4577,32.9,203.0,8.1,134.0,0.28,0.75,120.0,,,,0.05,0.6,0.36,0.17,0.3,0.25,-0.16,-0.2,-0.14,-0.44,2010
108,22.79688,86.44367,32.9,166.0,5.5,23.0,0.41,0.38,104.6,,,,-0.27,0.59,0.65,0.29,0.3,-0.09,0.16,0.2,0.59,0.14,2010
109,22.7309,86.42094,29.8,181.0,5.9,229.0,0.42,0.62,88.6,,,,0.21,0.53,0.45,-0.19,0.3,0.04,-0.1,0.1,0.33,0.09,2010
110,22.78505,86.30504,36.4,177.0,9.1,360.0,0.49,0.29,74.8,,,,0.04,0.1,0.15,-0.19,-0.2,0.06,0.01,0.31,-0.0,0.2,2010
111,22.7679,86.39423,27.5,164.0,4.0,176.0,0.3,0.32,60.0,,,,-0.23,0.43,0.65,0.26,-0.03,0.12,-0.04,0.45,0.21,-0.05,2010
112,22.79712,86.42692,31.6,180.0,5.6,196.0,0.47,0.21,84.1,,,,0.15,0.75,0.7,0.29,0.15,-0.14,0.19,0.27,0.6,-0.15,2010
113,22.82945,86.37925,38.8,169.0,9.0,134.0,0.23,0.56,63.1,,,,0.02,0.4,0.5,-0.2,0.04,0.19,-0.04,0.28,0.33,-0.17,2010
114,22.81763,86.27309,29.7,182.0,6.1,311.0,0.51,0.26,120.0,,,,-0.18,0.34,0.59,-0.01,0.23,0.22,0.15,-0.16,0.6,-0.03,2010
115,22.91412,86.36728,33.6,232.0,7.6,281.0,0.19,0.6,60.0,,,,-0.06,0.48,0.23,0.06,-0.13,-0.08,0.01,0.11,0.6,0.04,2010
116,22.78933,86.4013,32.4,210.0,9.6,157.0,0.23,0.31,62.9,,,,0.08,0.53,0.28,-0.19,0.22,0.25,0.06,-0.3,-0.11,-0.19,2010
117,22.80821,86.38575,30.2,187.0,9.4,217.0,0.55,0.38,86.7,,,,0.08,0.1,0.65,-0.2,0.3,-0.08,-0.1,-0.3,0.4,-0.1,2010
118,22.86214,86.39006,35.1,228.0,5.6,82.0,0.31,0.17,95.8,,,,-0.1,0.5,0.45,0.15,-0.07,0.03,0.0,0.35,0.12,0.32,2010
119,22.81818,86.51478,34.3,231.0,7.2,74.0,0.23,0.3,69.9,,,,0.15,0.4,0.42,0.35,-0.19,0.25,-0.11,-0.12,0.33,-0.14,2010
120,22.72811,86.49103,36.4,190.0,8.3,225.0,0.2,0.4,119.7,,,,-0.1,0.62,0.22,0.09,-0.06,-0.13,-0.01,0.39,0.19,-0.25,2010
121,22.80881,86.46884,28.7,144.0,5.8,142.0,0.38,0.25,75.6,,,,-0.15,0.46,0.35,0.15,0.07,0.03,-0.01,0.02,0.03,0.23,2010
122,22.66038,86.33456,24.6,198.0,4.6,212.0,0.54,0.44,74.7,,,,0.22,0.72,0.55,0.09,0.13,-0.09,-0.1,-0.03,0.08,-0.07,2010
123,22.82786,86.35149,28.8,188.0,4.4,249.0,0.4,0.24,74.4,,,,0.19,0.53,0.4,0.08,-0.09,-0.15,0.09,-0.12,0.44,-0.19,2010
124,22.71819,86.39108,36.8,147.0,4.3,65.0,0.3,0.22,120.0,,,,0.1,0.34,0.34,-0.2,0.11,0.03,0.16,0.08,-0.03,0.43,2010
125,22.77856,86.51323,34.8,165.0,7.5,159.0,0.65,0.36,105.4,,,,0.12,0.72,0.73,0.11,0.06,-0.12,-0.05,-0.04,0.28,0.39,2010
126,22.88352,86.36933,38.0,174.0,5.5,249.0,0.27,0.21,78.7,,,,0.38,0.44,0.75,0.35,0.24,-0.16,0.14,-0.17,-0.05,0.02,2010
127,22.75903,86.40211,29.8,140.0,3.7,145.0,0.61,0.3,76.8,,,,0.12,0.58,0.54,0.35,-0.13,0.13,0.16,-0.29,0.31,-0.04,2010
128,22.83928,86.32237,24.0,170.0,4.4,313.0,0.25,0.75,84.4,,,,0.25,0.75,0.36,0.3,0.16,-0.05,0.15,0.23,0.44,0.06,2010
129,22.77834,86.47558,24.0,204.0,10.0,36.0,0.43,0.14,95.3,,,,-0.02,0.47,0.8,0.3,-0.2,-0.04,-0.03,0.34,0.38,-0.35,2010
130,22.71525,86.34586,36.6,217.0,6.5,144.0,0.42,0.5,84.3,,,,-0.02,0.57,0.42,-0.01,0.14,0.25,0.11,-0.18,0.26,0.48,2010
131,22.9557,86.44215,40.5,167.0,4.4,330.0,0.24,0.22,88.1,,,,-0.08,0.39,0.82,0.07,0.13,-0.18,0.0,-0.25,-0.34,0.18,2010
132,22.75868,86.3381,24.0,182.0,7.4,59.0,0.4,0.1,107.4,,,,-0.03,0.47,0.35,0.09,-0.07,0.25,-0.19,0.21,0.12,0.13,2010
133,22.90716,86.36744,34.1,168.0,4.3,310.0,0.39,0.19,110.9,,,,0.18,0.75,0.73,0.26,-0.04,0.07,0.03,-0.25,0.24,0.23,2010
134,22.81788,86.30456,30.1,216.0,4.2,256.0,0.39,0.48,88.5,,,,0.17,0.6,0.32,0.14,0.16,-0.19,0.01,0.02,0.2,0.32,2010
135,22.84679,86.40814,26.3,172.0,4.5,222.0,0.36,0.4,87.6,,,,0.1,0.6,0.45,-0.08,0.03,0.11,0.07,-0.14,0.34,0.2,2010
136,22.85677,86.35444,35.4,174.0,4.9,7.0,0.24,0.6,111.0,,,,0.2,0.21,0.53,-0.17,-0.17,-0.01,-0.03,0.21,0.6,0.15,2010
137,22.79874,86.47834,37.2,167.0,8.0,101.0,0.2,0.31,94.3,,,,0.07,0.22,0.85,-0.09,-0.02,0.21,-0.12,-0.12,0.24,0.42,2010
138,22.84706,86.29233,32.3,190.0,1.8,111.0,0.38,0.5,108.5,,,,0.23,0.32,0.42,0.29,0.11,-0.12,0.25,0.01,0.17,-0.15,2010
139,22.84957,86.46085,36.9,188.0,6.5,106.0,0.7,0.75,103.7,,,,-0.35,0.46,0.73,0.08,0.3,-0.14,0.22,0.18,0.44,-0.08,2010
140,22.8054,86.37483,31.4,212.0,7.9,123.0,0.5,0.28,119.5,,,,-0.06,0.54,0.25,0.16,0.01,-0.25,0.19,-0.14,-0.4,-0.34,2010
141,22.77664,86.40598,37.8,162.0,4.8,360.0,0.33,0.51,72.7,,,,0.0,0.48,0.42,0.12,-0.01,-0.03,0.01,-0.25,-0.31,0.52,2010
142,22.84291,86.331,31.8,176.0,4.2,40.0,0.41,0.24,96.2,,,,0.08,0.51,0.72,0.11,0.22,-0.0,0.23,0.09,-0.11,-0.01,2010
